1746017176.450567  N:   84, t: 44376082, dt: 23718, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  1.85, VEL_AVG: -0.20, I: -13.88, D:  0.15, VEL_OUT: -28.25, MS_MPC: 29565.65, ax:  0.05, ay: -0.00, az:  0.99, gx: -0.09, gy: -0.55, gz: -0.49, OX: -0.07
1746017176.4575894 N:   85, t: 44393383, dt: 17301, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  2.54, VEL_AVG:  0.19, I: -14.08, D:  0.01, VEL_OUT: -29.97, MS_MPC: 29564.21, ax:  0.04, ay:  0.00, az:  0.99, gx:  0.03, gy: -0.49, gz:  0.37, OX:  0.05
1746017176.4988914 N:   87, t: 44438241, dt: 25462, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -3.45, VEL_AVG: -0.02, I: -14.58, D:  0.46, VEL_OUT: -24.81, MS_MPC: 29565.65, ax:  0.04, ay:  0.01, az:  0.99, gx:  0.03, gy: -0.06, gz:  0.85, OX:  0.05
1746017176.504877  N:   88, t: 44453656, dt: 15415, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.45, I: -15.02, D: -0.42, VEL_OUT: -38.75, MS_MPC: 29565.65, ax:  0.05, ay:  0.01, az:  0.98, gx:  0.27, gy: -0.49, gz:  0.24, OX:  0.01
1746017176.5109007 N:   89, t: 44472613, dt: 18957, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.46, I: -15.48, D: -0.01, VEL_OUT: -35.70, MS_MPC: 29564.21, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.34, gy: -0.92, gz: -0.31, OX: -0.07
1746017176.5581243 N:   90, t: 44496938, dt: 24325, ENC_DEG: 61.00, REF:  0.00, VEL_RAW: -2.71, VEL_AVG: -0.03, I: -15.51, D:  0.43, VEL_OUT: -26.94, MS_MPC: 29566.36, ax:  0.04, ay:  0.00, az:  0.99, gx:  0.46, gy: -1.28, gz: -0.55, OX: -0.08
1746017176.564936  N:   91, t: 44513345, dt: 16407, ENC_DEG: 61.11, REF:  0.00, VEL_RAW:  6.70, VEL_AVG:  0.74, I: -16.25, D: -0.72, VEL_OUT: -47.10, MS_MPC: 29562.74, ax:  0.05, ay:  0.00, az:  0.99, gx:  0.15, gy: -0.85, gz: -0.24, OX: -0.00
1746017176.570962  N:   92, t: 44536984, dt: 23639, ENC_DEG: 61.06, REF:  0.00, VEL_RAW: -1.86, VEL_AVG:  0.50, I: -16.75, D:  0.24, VEL_OUT: -36.13, MS_MPC: 29564.21, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.21, gy: -0.73, gz:  0.06, OX: -0.00
1746017176.7351546 N:   93, t: 44551954, dt: 14970, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -1.47, VEL_AVG:  0.41, I: -17.17, D:  0.09, VEL_OUT: -37.60, MS_MPC: 29564.93, ax:  0.05, ay:  0.00, az:  0.99, gx:  0.21, gy: -0.67, gz:  0.12, OX: -0.01
1746017176.7961502 N:   94, t: 44573734, dt: 21780, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  1.01, VEL_AVG:  0.32, I: -17.49, D:  0.10, VEL_OUT: -37.16, MS_MPC: 29564.21, ax:  0.04, ay:  0.00, az:  1.00, gx: -0.09, gy: -0.85, gz:  0.49, OX: -0.00
