1746024876.4138992 N:   72, t: 27281131, dt: 24461, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  1.80, VEL_AVG: -0.12, I: -15.21, D: -0.05, VEL_OUT: -32.14, MS_MPC: 27020.77, ax: -0.01, ay:  0.01, az:  1.00, gx:  1.53, gy: -2.38, gz: -1.04, OX:  0.01
1746024876.419883  N:   73, t: 27299341, dt: 18210, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -15.30, D:  0.03, VEL_OUT: -31.22, MS_MPC: 27020.77, ax: -0.01, ay:  0.01, az:  1.01, gx:  1.59, gy: -2.20, gz: -2.01, OX: -0.02
1746024876.425867  N:   74, t: 27316515, dt: 17174, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.31, I: -15.61, D: -0.22, VEL_OUT: -36.54, MS_MPC: 27013.95, ax: -0.00, ay:  0.00, az:  1.01, gx:  1.53, gy: -1.65, gz: -2.26, OX: -0.07
1746024876.4328496 N:   75, t: 27339228, dt: 22713, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -1.93, VEL_AVG: -0.21, I: -15.82, D:  0.10, VEL_OUT: -32.67, MS_MPC: 27027.58, ax:  0.01, ay: -0.00, az:  1.01, gx:  1.16, gy: -1.40, gz: -3.05, OX: -0.02
1746024876.5286305 N:   76, t: 27356375, dt: 17147, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -16.03, D:  0.00, VEL_OUT: -34.13, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.02, gx:  1.04, gy: -1.40, gz: -2.69, OX: -0.05
1746024876.534623  N:   77, t: 27375785, dt: 19410, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.03, I: -16.05, D:  0.18, VEL_OUT: -30.55, MS_MPC: 27020.77, ax:  0.01, ay: -0.01, az:  1.03, gx:  0.37, gy: -1.22, gz: -2.14, OX:  0.02
1746024876.588432  N:   78, t: 27399501, dt: 23716, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -2.78, VEL_AVG: -0.36, I: -16.42, D: -0.34, VEL_OUT: -39.86, MS_MPC: 27041.16, ax:  0.01, ay: -0.01, az:  1.02, gx: -0.37, gy:  0.18, gz: -1.22, OX: -0.04
1746024876.5944161 N:   79, t: 27417082, dt: 17581, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  2.50, VEL_AVG:  0.01, I: -16.43, D:  0.35, VEL_OUT: -29.51, MS_MPC: 27027.58, ax:  0.01, ay: -0.02, az:  1.01, gx: -0.73, gy:  1.16, gz: -0.31, OX: -0.03
1746024876.6013985 N:   81, t: 27456641, dt: 15177, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  1.45, VEL_AVG:  0.04, I: -16.80, D:  0.29, VEL_OUT: -31.13, MS_MPC: 27034.38, ax:  0.01, ay: -0.02, az:  0.99, gx:  0.06, gy:  1.83, gz:  1.16, OX:  0.00
1746024876.6064174 N:   82, t: 27479711, dt: 23070, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  3.81, VEL_AVG:  0.36, I: -17.15, D: -0.32, VEL_OUT: -41.05, MS_MPC: 27007.13, ax:  0.00, ay: -0.01, az:  0.99, gx:  1.10, gy:  1.89, gz:  2.38, OX:  0.03
